gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	differentiation	diff_expr
RP11-382D12.2:ENSG00000271387	7.456215434556433	-2.0464133669577125	0.44376666359762257	-4.611462587945229	3.998456274723293e-6	1.737698360139132e-5	TRUE	Healthy vs. Pre treatment	NA
CLDN2	10.581841070154162	-2.046629673538731	0.6467936999840924	-3.1642696482496144	0.00155472678907801	0.00361789325733464	TRUE	Healthy vs. Pre treatment	NA
RSPO4	15.207077947055918	-2.049345668506262	0.4676735758445964	-4.382000126488311	1.1759474097049144e-5	4.5432959275603065e-5	TRUE	Healthy vs. Pre treatment	NA
SBF1	3155.516178712488	-2.049948924252265	0.27371875453201083	-7.489252710349184	6.926685879649207e-14	2.4195161159253234e-12	TRUE	Healthy vs. Pre treatment	NA
MAMDC4	159.98096549983106	-2.050669051855008	0.3824946914868487	-5.36130068598747	8.262485333627913e-8	5.373087620049721e-7	TRUE	Healthy vs. Pre treatment	NA
NFATC4	1417.0719725693507	-2.0519863878106146	0.31797612708216133	-6.453271843519262	1.0946074942688659e-10	1.50328253614212e-9	TRUE	Healthy vs. Pre treatment	NA
AC061992.2:ENSG00000267737	12.103207423514828	-2.0520066034725155	0.423158857168666	-4.849258307394026	1.2392396121476783e-6	6.083628663001801e-6	TRUE	Healthy vs. Pre treatment	NA
FAM69C	12.8265081485456	-2.0521592326467224	0.5536758031345419	-3.706427517743723	2.10203357836599e-4	6.011385793335838e-4	TRUE	Healthy vs. Pre treatment	NA
KMT2B	1710.039096251513	-2.052946302143247	0.2903149354035747	-7.07144570185268	1.5332779942046456e-12	3.495623641566092e-11	TRUE	Healthy vs. Pre treatment	NA
SNX21	2031.242835938739	-2.0535082701477867	0.2570002849680128	-7.990295693264986	1.3461548255984582e-15	8.254587631201079e-14	TRUE	Healthy vs. Pre treatment	NA
CTD-2619J13.14:ENSG00000232098	173.26033374258765	-2.054228988152454	0.2686646983401566	-7.646069620771659	2.0721550393639627e-14	8.568786167396506e-13	TRUE	Healthy vs. Pre treatment	NA
CLCF1	123.46868102609766	-2.0548678516068986	0.35006193528570184	-5.870012259201576	4.3576291624076316e-9	3.948342031821072e-8	TRUE	Healthy vs. Pre treatment	NA
LOC554174	5.7054168321209335	-2.054891069310517	0.5599321297193128	-3.6698931178330647	2.426519054822176e-4	6.838371881771587e-4	TRUE	Healthy vs. Pre treatment	NA
NOL3	742.7672312193583	-2.0552588245896573	0.26110213019437495	-7.87147474844284	3.504848925768082e-15	1.8629986368736266e-13	TRUE	Healthy vs. Pre treatment	NA
LOC493754	502.18992721144696	-2.0558343042125222	0.2534437382176226	-8.111600304945213	4.995739687175605e-16	3.5025686028975635e-14	TRUE	Healthy vs. Pre treatment	NA
RASA4	2791.672906480882	-2.056042854344999	0.3405620937249955	-6.037204058315595	1.5680738080757016e-9	1.5901032534872373e-8	TRUE	Healthy vs. Pre treatment	NA
ITGA7	3304.317418798772	-2.0561839283827497	0.4081642534645006	-5.03763842847542	4.713106841507214e-7	2.5635927262861468e-6	TRUE	Healthy vs. Pre treatment	NA
FSCN2	27.959827398989177	-2.0566076732717553	0.4225973584764659	-4.866589040419395	1.135407820522843e-6	5.6341228760140366e-6	TRUE	Healthy vs. Pre treatment	NA
ITIH1	5.078950541431883	-2.0567654809618783	0.6911867510370397	-2.9757015421316417	0.00292319200018746	0.00636400208299021	TRUE	Healthy vs. Pre treatment	NA
KIF5A	55.76560878528203	-2.0568682355383308	0.37995431726338075	-5.413461940248277	6.181773872667207e-8	4.15681260650544e-7	TRUE	Healthy vs. Pre treatment	NA
ABTB1	737.7410660873144	-2.0571645847493873	0.2761572468859118	-7.449250772692048	9.387179080662517e-14	3.128153492280059e-12	TRUE	Healthy vs. Pre treatment	NA
ITPKA	12.8515949385219	-2.058953587817859	0.4310822882192875	-4.776242597029384	1.7860091161264251e-6	8.414288131153422e-6	TRUE	Healthy vs. Pre treatment	NA
DKFZP434A062	8.571924987683381	-2.060032768282144	0.4452011538476446	-4.627195483386196	3.7065063334969106e-6	1.6252627300948903e-5	TRUE	Healthy vs. Pre treatment	NA
WNT9A	21.627787337570076	-2.0604346586847893	0.45393756327280255	-4.539026565304382	5.651451659940851e-6	2.3661824897282316e-5	TRUE	Healthy vs. Pre treatment	NA
HSD17B1	33.46139202935121	-2.060843675880636	0.31540053678750857	-6.534052531651416	6.401347585344248e-11	9.323660470358811e-10	TRUE	Healthy vs. Pre treatment	NA
POU5F1P3	16.723086926651167	-2.061358911177064	0.4196550004328512	-4.912032286165743	9.013720565549346e-7	4.565442464596343e-6	TRUE	Healthy vs. Pre treatment	NA
BC132841	46.750420733000254	-2.061462926215864	0.3681136628384354	-5.6000717558821975	2.1426309511314233e-8	1.612620393808456e-7	TRUE	Healthy vs. Pre treatment	NA
LOC100129917	665.5770182991158	-2.061469764913906	0.3474377543939776	-5.933349898918294	2.96815356011048e-9	2.812987005296565e-8	TRUE	Healthy vs. Pre treatment	NA
MROH1	1597.4347151431823	-2.061860029077803	0.32002712564983676	-6.4427664526594635	1.1731515144829884e-10	1.5969392327628206e-9	TRUE	Healthy vs. Pre treatment	NA
OTOF	9.968094652389023	-2.062144022909316	0.4964415068656844	-4.153850945962992	3.2692617705163805e-5	1.136081533008899e-4	TRUE	Healthy vs. Pre treatment	NA
FAM195B	1072.402033786996	-2.06251082050129	0.30675836518014593	-6.723568302008868	1.7732730088042822e-11	3.0480661972953044e-10	TRUE	Healthy vs. Pre treatment	NA
MAPK15	35.61528418091028	-2.062556273437076	0.4541921362871209	-4.541153641051187	5.594723996804357e-6	2.345669357064225e-5	TRUE	Healthy vs. Pre treatment	NA
